,Date,Pro-Regulation,Anti-Regulation,Self-Defense,Fear-of-Regulation,Pro-Regulation Self-Defense,Anti-Regulation Self-defense,Pro-Regulation Fear-of-Regulation,Anti-Regulation Fear-of-Regulation,Daily Background Checks,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
0,2019-06-20,1495,2873,1694,1888,909,805,307,1607,88440,1607,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,919,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0
1,2019-06-21,307,380,266,269,190,77,51,221,87952,221,0,0,10,5,0,2,0,0,2,0,0,0,0,10,0,5,0,1,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2019-06-22,26,29,26,19,14,13,5,14,76023,14,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0
3,2019-06-23,12,24,14,15,6,8,3,12,56288,12,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019-06-24,229,353,226,241,141,86,37,207,84731,207,0,0,0,0,0,0,0,0,1,1,0,0,190,0,0,2,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2019-06-25,878,1483,935,980,511,437,170,828,80066,828,0,811,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0
6,2019-06-26,431,870,465,584,254,220,85,509,78686,509,0,0,0,5,0,1,1,0,2,0,0,0,1,0,0,3,3,0,0,7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,18,1,0,0,0,0,453,0,0,1,2,0,0,0,0
7,2019-06-27,22,56,30,40,11,19,8,32,91009,32,0,0,0,2,1,3,0,0,1,0,0,0,0,1,0,4,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,2,0,0,0,0,0
8,2019-06-28,39,54,44,36,28,16,5,32,94103,32,0,1,0,5,0,0,0,0,2,0,0,0,1,0,0,14,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019-06-29,30,57,29,41,18,11,7,34,76054,34,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
